Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;241.360702514648;NaN;233.0616;28.08269;7;101.5;False
2;241.302749633789;NaN;233.0411;28.20758;7;101.5;False
3;241.406280517578;NaN;233.0853;28.0118;8;281;False
4;241.051452636719;NaN;232.7656;28.09183;7;101.5;False
5;249.463912963867;NaN;241.8749;31.87177;8;245.5;False
6;253.826950073242;NaN;246.7518;34.87589;8;245.5;False
7;254.055328369141;NaN;246.9883;34.94955;8;245.5;False
8;253.807693481445;NaN;246.7363;34.89194;8;245.5;False
9;254.448944091797;NaN;246.9442;32.905;7;232;False
10;263.166137695313;90.1707935196348;255.576;33.67206;7;237;False
11;260.842712402344;NaN;253.7279;35.66168;7;237;False
12;262.897399902344;NaN;255.4296;34.20407;7;237;False
13;262.93994140625;108.911744520068;255.465;34.17612;7;237;False
14;262.950073242188;NaN;255.4697;34.1521;7;237;False
15;264.991302490234;NaN;257.2106;33.0575;8;258.5;False
16;265.017852783203;NaN;257.2287;33.02386;8;258.5;False
17;264.952514648438;NaN;257.1699;33.04413;8;258.5;False
18;264.995300292969;NaN;257.2124;33.04828;8;258.5;False
19;265.015655517578;NaN;257.1873;32.85352;8;258.5;False
20;265.049957275391;NaN;257.23;32.89398;8;258.5;False
21;265.003265380859;NaN;257.1731;32.84399;8;258.5;False
22;265.021148681641;NaN;257.1893;32.83875;8;258.5;False
23;265.053039550781;NaN;257.2381;32.91614;8;258.5;False
24;265.028625488281;49.4969024561346;257.1922;32.82001;8;258.5;False
25;265.074859619141;NaN;257.2565;32.90417;8;258.5;False
26;265.015899658203;NaN;257.2237;33.01025;8;258.5;False
27;265.079223632813;NaN;257.2561;32.88403;8;258.5;False
28;265.028747558594;93.4889153070748;257.1905;32.81201;8;258.5;False
29;265.052001953125;NaN;257.2306;32.88818;8;258.5;False
30;265.008636474609;NaN;257.2023;32.948;8;258.5;False
